ID	Label	Type	default datatype	cardinality
ID	LABEL	TYPE		
IAO:0000112	example of usage	owl:AnnotationProperty		
IAO:0000115	definition	owl:AnnotationProperty		zero or one
IAO:0000118	alternative term	owl:AnnotationProperty		zero or more
IAO:0000119	definition source	owl:AnnotationProperty		
IAO:0000232	curator note	owl:AnnotationProperty		zero or more
IAO:0000234	ontology term requester	owl:AnnotationProperty		zero or more
IAO:0100001	replacement	owl:AnnotationProperty	link	zero or one
http://purl.obolibrary.org/obo/ncbitaxon#has_rank	has rank	owl:AnnotationProperty	link	zero or one
OBI:9991118	IEDB alternative term	owl:AnnotationProperty		zero or one
obo:IDO_0000664	has material basis in	owl:ObjectProperty		
obo:RO_0002162	in taxon	owl:ObjectProperty		
oboInOwl:hasDbXref	database_cross_reference	owl:AnnotationProperty		zero or more
ONTIE:0003256	protein taxon	owl:AnnotationProperty	link	zero or one
ONTIE:0003257	protein label	owl:AnnotationProperty		zero or one
ONTIE:0003258	parent taxon	owl:AnnotationProperty	link	zero or more
ONTIE:0003259	ONTIE domain	owl:AnnotationProperty		zero or one
ONTIE:0003303	mapping note	owl:AnnotationProperty		
ONTIE:0003420	model of human disease	owl:ObjectProperty		
ONTIE:0003615	has taxon ID	owl:AnnotationProperty		
ONTIE:0003616	NCBI Taxonomy browser	owl:AnnotationProperty		
ONTIE:0003617	has taxonomic rank	owl:AnnotationProperty		
ONTIE:0003618	used in IEDB	owl:AnnotationProperty		
ONTIE:0003619	has species	owl:AnnotationProperty		
ONTIE:0003620	has sort name	owl:AnnotationProperty		
ONTIE:0003621	has taxonomic level	owl:AnnotationProperty		
ONTIE:0003622	protein synonym	owl:AnnotationProperty		
ONTIE:0003623	has accession	owl:AnnotationProperty		
ONTIE:0003624	has accession IRI	owl:AnnotationProperty		
ONTIE:0003625	has source database	owl:AnnotationProperty		
ONTIE:0003626	has source ID	owl:AnnotationProperty		
ONTIE:0003627	has start position	owl:AnnotationProperty		
ONTIE:0003628	has end position	owl:AnnotationProperty		
ONTIE:0003629	IEDB assay ID	owl:AnnotationProperty		
ONTIE:0003630	IEDB assay measurement of	owl:AnnotationProperty		
ONTIE:0003631	IEDB assay synonym	owl:AnnotationProperty		
ONTIE:0003632	IEDB assay technique	owl:AnnotationProperty		
ONTIE:0003633	IEDB assay units	owl:AnnotationProperty		
ONTIE:0003634	IEDB tree view name	owl:AnnotationProperty		
owl:deprecated	obsolete	owl:AnnotationProperty	xsd:boolean	zero or one
rdf:type	type	owl:AnnotationProperty	link	one or more
rdfs:label	label	owl:AnnotationProperty		one
rdfs:subClassOf	subclass of	owl:AnnotationProperty	link	zero or more
